"CountyName","Condition","Year","mean_crude_prev","mean_TotalPopulation","mean_FoodInsecRate","mean_FoodInsecPersons","mean_FoodInsecPersons_Black","mean_FoodInsecPersons_Hispanic","mean_FoodInsecPersons_White","n_records"
"Barnstable","Diabetes",2019,9.42142857142857,3855.14285714286,0.071,15160,0.16,0.11,0.06,56
"Barnstable","Diabetes",2020,9.22321428571429,3855.14285714286,0.086,18410,0.17,0.14,0.04,56
"Barnstable","Diabetes",2022,10.7767857142857,4089.21428571429,0.091,20900,0.18,0.17,0.07,56
"Barnstable","High Blood Pressure",2019,56.4964285714286,3855.14285714286,0.071,15160,0.16,0.11,0.06,112
"Barnstable","High Blood Pressure",2021,53.4732142857143,4089.21428571429,0.069,15800,0.16,0.12,0.05,168
"Barnstable","Leisure Activity",2019,25.3785714285714,3855.14285714286,0.071,15160,0.16,0.11,0.06,56
"Barnstable","Leisure Activity",2020,17.9089285714286,3855.14285714286,0.086,18410,0.17,0.14,0.04,56
"Barnstable","Leisure Activity",2022,20.3839285714286,4089.21428571429,0.091,20900,0.18,0.17,0.07,56
"Barnstable","Obesity",2019,24.2267857142857,3855.14285714286,0.071,15160,0.16,0.11,0.06,56
"Barnstable","Obesity",2020,25.2892857142857,3855.14285714286,0.086,18410,0.17,0.14,0.04,56
"Barnstable","Obesity",2022,26.4339285714286,4089.21428571429,0.091,20900,0.18,0.17,0.07,56
"Berkshire","Diabetes",2019,9.8974358974359,3364.58974358974,0.098,12360,0.23,0.17,0.09,39
"Berkshire","Diabetes",2020,9.41025641025641,3364.58974358974,0.103,12950,0.26,0.18,0.07,39
"Berkshire","Diabetes",2022,10.6375,3225.65,0.112,14430,0.3,0.18,0.1,40
"Berkshire","High Blood Pressure",2019,53.8346153846154,3364.58974358974,0.098,12360,0.23,0.17,0.09,78
"Berkshire","High Blood Pressure",2021,49.885,3225.65,0.089,11450,0.24,0.13,0.07,120
"Berkshire","Leisure Activity",2019,28.5948717948718,3364.58974358974,0.098,12360,0.23,0.17,0.09,39
"Berkshire","Leisure Activity",2020,21.2641025641026,3364.58974358974,0.103,12950,0.26,0.18,0.07,39
"Berkshire","Leisure Activity",2022,23.125,3225.65,0.112,14430,0.3,0.18,0.1,40
"Berkshire","Obesity",2019,25.7128205128205,3364.58974358974,0.098,12360,0.23,0.17,0.09,39
"Berkshire","Obesity",2020,24.5384615384615,3364.58974358974,0.103,12950,0.26,0.18,0.07,39
"Berkshire","Obesity",2022,28.385,3225.65,0.112,14430,0.3,0.18,0.1,40
"Bristol","Diabetes",2019,9.3176,4386.28,0.098,54720,0.19,0.2,0.09,125
"Bristol","Diabetes",2020,9.1392,4386.28,0.11,61940,0.21,0.21,0.06,125
"Bristol","Diabetes",2022,11.5146153846154,4455.38461538462,0.114,65980,0.24,0.23,0.09,130
"Bristol","High Blood Pressure",2019,52.806,4386.28,0.098,54720,0.19,0.2,0.09,250
"Bristol","High Blood Pressure",2021,49.0161538461538,4455.38461538462,0.091,52560,0.21,0.18,0.07,390
"Bristol","Leisure Activity",2019,32.5208,4386.28,0.098,54720,0.19,0.2,0.09,125
"Bristol","Leisure Activity",2020,24.548,4386.28,0.11,61940,0.21,0.21,0.06,125
"Bristol","Leisure Activity",2022,26.8553846153846,4455.38461538462,0.114,65980,0.24,0.23,0.09,130
"Bristol","Obesity",2019,31.9456,4386.28,0.098,54720,0.19,0.2,0.09,125
"Bristol","Obesity",2020,27.5848,4386.28,0.11,61940,0.21,0.21,0.06,125
"Bristol","Obesity",2022,33.9153846153846,4455.38461538462,0.114,65980,0.24,0.23,0.09,130
"Dukes","Diabetes",2019,8.65,4133.75,0.074,1280,0.19,NA,0.06,4
"Dukes","Diabetes",2020,8.65,4133.75,0.082,1430,0.21,NA,0.05,4
"Dukes","Diabetes",2022,10.775,5150,0.087,1790,0.34,NA,0.07,4
"Dukes","High Blood Pressure",2019,52.5125,4133.75,0.074,1280,0.19,NA,0.06,8
"Dukes","High Blood Pressure",2021,49.5666666666667,5150,0.07,1430,0.27,NA,0.05,12
"Dukes","Leisure Activity",2019,24.75,4133.75,0.074,1280,0.19,NA,0.06,4
"Dukes","Leisure Activity",2020,18.2,4133.75,0.082,1430,0.21,NA,0.05,4
"Dukes","Leisure Activity",2022,20.375,5150,0.087,1790,0.34,NA,0.07,4
"Dukes","Obesity",2019,27.15,4133.75,0.074,1280,0.19,NA,0.06,4
"Dukes","Obesity",2020,25.075,4133.75,0.082,1430,0.21,NA,0.05,4
"Dukes","Obesity",2022,29.225,5150,0.087,1790,0.34,NA,0.07,4
"Essex","Diabetes",2019,8.7320987654321,4587.4012345679,0.076,59740,0.17,0.16,0.07,162
"Essex","Diabetes",2020,8.62098765432099,4587.4012345679,0.094,73630,0.19,0.18,0.05,162
"Essex","Diabetes",2022,10.4560693641619,4681.09248554913,0.101,81480,0.2,0.2,0.07,173
"Essex","High Blood Pressure",2019,50.3438271604938,4587.4012345679,0.076,59740,0.17,0.16,0.07,324
"Essex","High Blood Pressure",2021,47.9793834296724,4681.09248554913,0.077,62340,0.17,0.15,0.05,519
"Essex","Leisure Activity",2019,30.0444444444444,4587.4012345679,0.076,59740,0.17,0.16,0.07,162
"Essex","Leisure Activity",2020,23.7061728395062,4587.4012345679,0.094,73630,0.19,0.18,0.05,162
"Essex","Leisure Activity",2022,21.7132947976879,4681.09248554913,0.101,81480,0.2,0.2,0.07,173
"Essex","Obesity",2019,26.3543209876543,4587.4012345679,0.076,59740,0.17,0.16,0.07,162
"Essex","Obesity",2020,27.258024691358,4587.4012345679,0.094,73630,0.19,0.18,0.05,162
"Essex","Obesity",2022,30.8491329479769,4681.09248554913,0.101,81480,0.2,0.2,0.07,173
"Franklin","Diabetes",2019,8.92777777777778,3965.11111111111,0.091,6390,NA,0.18,0.09,18
"Franklin","Diabetes",2020,8.63888888888889,3965.11111111111,0.099,7010,NA,0.19,0.07,18
"Franklin","Diabetes",2022,10.6789473684211,3738.36842105263,0.116,8230,NA,0.2,0.1,19
"Franklin","High Blood Pressure",2019,51.9444444444444,3965.11111111111,0.091,6390,NA,0.18,0.09,36
"Franklin","High Blood Pressure",2021,48.2561403508772,3738.36842105263,0.087,6220,NA,0.14,0.07,57
"Franklin","Leisure Activity",2019,27.7388888888889,3965.11111111111,0.091,6390,NA,0.18,0.09,18
"Franklin","Leisure Activity",2020,20.4388888888889,3965.11111111111,0.099,7010,NA,0.19,0.07,18
"Franklin","Leisure Activity",2022,21.6894736842105,3738.36842105263,0.116,8230,NA,0.2,0.1,19
"Franklin","Obesity",2019,28.8,3965.11111111111,0.091,6390,NA,0.18,0.09,18
"Franklin","Obesity",2020,26.5277777777778,3965.11111111111,0.099,7010,NA,0.19,0.07,18
"Franklin","Obesity",2022,27.7157894736842,3738.36842105263,0.116,8230,NA,0.2,0.1,19
"Hampden","Diabetes",2019,10.6097087378641,4499.90291262136,0.109,50820,0.21,0.23,0.08,103
"Hampden","Diabetes",2020,10.7941747572816,4499.90291262136,0.122,57150,0.23,0.24,0.05,103
"Hampden","Diabetes",2022,13.0423076923077,4479.08653846154,0.133,61700,0.26,0.28,0.08,104
"Hampden","High Blood Pressure",2019,53.1111650485437,4499.90291262136,0.109,50820,0.21,0.23,0.08,206
"Hampden","High Blood Pressure",2021,48.8285256410256,4479.08653846154,0.109,50950,0.23,0.22,0.06,312
"Hampden","Leisure Activity",2019,32.6417475728155,4499.90291262136,0.109,50820,0.21,0.23,0.08,103
"Hampden","Leisure Activity",2020,25.7864077669903,4499.90291262136,0.122,57150,0.23,0.24,0.05,103
"Hampden","Leisure Activity",2022,30.4692307692308,4479.08653846154,0.133,61700,0.26,0.28,0.08,104
"Hampden","Obesity",2019,29.9097087378641,4499.90291262136,0.109,50820,0.21,0.23,0.08,103
"Hampden","Obesity",2020,32.3699029126214,4499.90291262136,0.122,57150,0.23,0.24,0.05,103
"Hampden","Obesity",2022,35.7394230769231,4479.08653846154,0.133,61700,0.26,0.28,0.08,104
"Hampshire","Diabetes",2019,6.93888888888889,4391.11111111111,0.08,12850,0.22,0.16,0.08,36
"Hampshire","Diabetes",2020,7.06388888888889,4391.11111111111,0.081,13090,0.22,0.17,0.06,36
"Hampshire","Diabetes",2022,8.53142857142857,4637.37142857143,0.093,14380,0.32,0.2,0.09,35
"Hampshire","High Blood Pressure",2019,45.2833333333333,4391.11111111111,0.08,12850,0.22,0.16,0.08,72
"Hampshire","High Blood Pressure",2021,42.6828571428571,4637.37142857143,0.067,10840,NA,0.14,0.07,105
"Hampshire","Leisure Activity",2019,24.6194444444444,4391.11111111111,0.08,12850,0.22,0.16,0.08,36
